station,easting,northing
F11,640186.8394,7336292.907
F12,639390.8431,7337132.514
F13,639919.548,7338362.537
F14,638169.2185,7339098.23
F15A,632033.922,7338473.498
F15B,632701.7264,7338824.697
F16,632123.8761,7331440.198
F17,624333.383,7322579.211
F18A,636056.0107,7339533.468
F18B,637302.4908,7339496.439
F18C,635771.7853,7340240.282
F19,643612.2137,7320793.173
F110,644397.6342,7321057.624
F111,642705.9794,7317873.106
F112,634675.5222,7312404.754
F113,630197.3605,7317049.307
SK,651702.8196,7323115.352
EY1,627588.5081,7316614.266
EY6,627066.43,7315242.77
EY7,627715.2189,7314101.687
