station,strike,dip,width,color,comments,recorder
TJ18-37 A,152,82,,,,ST
TJ18-37 A,339,90,400,,,ST
TJ18-37 K,92,72,400,,measured fractures not margin,ST
TJ18-37 K,96,84,100,fresh,,ST
TJ18-37 E,328,88,,,iffy,ST
TJ18-37 N,206,70,1.4,,,ST
TJ18-37 N,22,78,,,,ST
TJ18-37 O,165,75,500,,,ST
TJ18-47 H,20,90,100,,iffy dip,ST
TJ18-47 H,17,90,20,,iffy dip,ST
TJ18-47 H,38,90,20,,iffy dip,ST
TJ18-47 H,50,90,20,,iffy dip,ST
TJ18-49 C,20,90,100,,iffy,ST
TJ18-49 D,8,60,,,,ST
EY18-08 H,90,90,10,,,ST
EY18-08 I,220,70,130,,,ST
EY18-10 A,172,90,,,,ST
EY18-10 C,48,90,,,,ST
EY18-10 C,175,85,500,,,ST
EY18-13,15,83,30,,,ST
EY18-13,10,90,30,,,ST
EY18-13,1,78,30,,,ST
EY18-13,19,86,,,,ST
EY18-13,5,90,1000,,,ST
EY18-13,160,75,,,wiggly surface,ST
FL18-72 D,85,70,,"fractures, chillded margins?",very iffy,ST
FL18-71 C,130,77,,brown,,ST
FL18-67,30,80,800,,,ST
FL18-67,68,52,100,"red gouge, green, veins",,ST
FL18-67,40,62,,"green, red, gouge",,ST
FL18-67,105,60,,,,ST
FL18-67 D,105,60,,,,ST
FL18-95,95,50,,"fresh, few viens, brown",,ST
TR18-10,210,85,800,,,ST
TR18-10,200,82,200,black,,ST
TR18-10,190,80,300,,,ST
TR18-14,211,82,,,,ST
FL18-96,335,90,,,,ST
FL18-96,338,75,2500,,notes hard to read,ST
FL18-97,170,70,100,,,ST
FL18-97,195,85,100,,,ST
FL18-97 C,130,90,50,,,ST
FL18-97 C,0,90,,,Unsure,ST
FL18-98 B,351,84,1200,,,ST
FL18-99 A,105,70,500,brown,,ST
FL18-99 3,99,78,500,,,ST
FL18-99 6,100,78,400,,,ST
FL18-99 6,105,71,,,,ST
FL18-99 G,85,80,10,black,,ST
FL18-99 8,115,90,1000,"brown, with veins",,ST
FL18-100 A,0,85,200,no fractures or veins,,ST
FL18-100 D,178,90,,,,ST
FL18-100 H,20,90,50,,,ST
FL18-100 H,30,90,10,,,ST
FL18-100 H,35,85,10,,,ST
FL18-100 H,15,90,1000,,,ST
FL18-100 I,5,76,50,,,ST
FL18-101 A,30,80,500,,,ST
FL18-101 A,30,80,800,,,ST
EY18-08 F,187,85,,,,ST
FL18-71 C,120,90,,,iffy dip,ST
FL18-72 D,90,90,600,"fresh, black",,ST
FL18-72 D,110,90,1000,"fresh, brown",approximate measurement,ST
FL18-72 D,90,90,800,brown,wiggly margin,ST
FL18-99,81,79,,,,ST
FL18-99,101,77,400,"brown, few fractures and veins",,ST
EY18-09,50,82,150,,,NH
EY18-09,190,90,,,dip bad,NH
EY18-09,85,50,70,,not great,NH
EY18-10,10,78,200,,,NH
EY18-10,35,80,10,,"recorded as ""8E"" but I think it must be 80",NH
EY18-10,175,85,,,not great,NH
EY18-12,3,90,,,wiggly,NH
FL18-100 A,200,90,400,,,NH
FL18-100 F,53,50,4,,,NH
FL18-100 F,54,40,100,,,NH
FL18-100 H,210,80,5,,not great,NH
FL18-100 H,210,80,1000,,not great,NH
FL18-101,355,90,,,not great,NH
FL18-101,40,90,200,,unsure,NH
FL18-67 C,115,60,5,black,,NH
FL18-71 C,136,71,,"brown, fine grained",wiggly,NH
FL18-96 A,158,80,,"fine grained, brown",,NH
FL18-97 C,0,80,300,,not sure its a dike,NH
EY18-13,177,90,500,,,NH
TJ18-37 J,130,80,500,fine grained sand-like basalt,pretty iffy. margin went more like 005 75 W,NH
TJ18-47 J,110,90,,,"very iffy, branches and seems closer to 130 later",NH
TJ18-47 N,205,80,10,,,NH
TJ18-48 A,240,80,70,,,NH
TJ18-48 A,135,90,,,,NH
TJ18-48 A,315,85,100,,wiggly,NH
TJ18-48 B,243,60,50,,wiggly and branching,NH
TJ18-49 D,8,60,,,unsure,NH
TJ18-49 E,35,61,40,,,NH
TJ18-49 E,100,90,,,not very continuous dike. Other side was 093 80 S,NH
TR18-10,200,83,800,,,NH
TR18-10,180,85,300,,,NH
TR18-10,180,85,200,,,NH
EY18-08 A,172,80,100,,,SWS
EY18-11,197,81,,,,SWS
EY18-13,195,86,50,,,SWS
FL18-69 C,130,85,1500,,,SWS
FL18-69 D,56,72,,,,SWS
FL18-69 D,48,69,100,,,SWS
FL18-95 C,154,51,200,,,SWS
TR18-10,210,83,800,,,SWS
TR18-12,35,80,100,,,SWS
TR18-14,30,87,0.5,,,SWS
FL18-97,356,75,200,,,SWS
FL18-98 B,347,84,500,,,SWS
FL18-100 C,345,80,100,,,SWS
FL18-100 C,205,83,200,,,SWS
FL18-100 F,358,85,50,,,SWS
FL18-101 A,207,88,500,,,SWS
FL18-96 B,340,82,,,,SWS
EY18-10,16,84,300,,,SWS
EY18-13,170,82,150,,4 dikes,SWS
FL18-68 A,112,61,10,,tapers,PA
FL18-69 C,61,55,75,,,PA
FL18-69 C,102,65,1500,,,PA
FL18-69 C,24,40,150,,irregular,PA
FL18-69 D,50,71,150,,,PA
FL18-69 E,55,57,50,,,PA
FL18-67 A,90,60,50,,,PA
FL18-67 A,101,40,30,no veins inside,,PA
FL18-67 A,85,58,20,reddish brown,,PA
FL18-75 A,95,40,,,,PA
FL18-75 A,350,75,500,,,PA
FL18-75 A,127,77,200,,,PA
FL18-75 B,8,89,,,,PA
FL18-75 B,154,57,300,,,PA
FL18-96 A,168,90,800,,,PA
FL18-99 E,85,83,50,,,PA
FL18-99 E,110,74,600,brown,,PA
FL18-99 E,105,71,75,brown,,PA
FL18-99 E,62,82,30,black,,PA
FL18-99 F,102,65,300,,,PA
FL18-100 H,158,72,30,,,PA
FL18-100 H,150,90,10,,,PA
FL18-101 B,8,90,50,,,PA
FL18-101 B,21,78,30,,,PA
FL18-101 B,28,90,300,,,PA
