station,strike,dip,rakes,shear,comments,recorder
TJ17-38,319,78,5,RL,,sarah
TJ17-38,335,70,45,TR,big,sarah
TJ17-38,278,89,8,RL,,sarah
TJ17-38,19,40,,,big,sarah
TJ17-38,230,58,,N,"curvy, offsets marker",sarah
EY17-01,25,90,,,,sarah
EY17-01,57,90,,,,sarah
EY17-04,244,82,20,LL,"red, white",sarah
EY17-04,0,90,0,,,sarah
EY17-04,188,79,131,N,red,sarah
EY17-04,13,66,110,N,red,sarah
EY17-04,245,69,86,N,red,sarah
EY17-04,230,68,102,N,red,sarah
EY17-04,7,60,87,N,,sarah
EY17-06,174,80,7,,,sarah
EY17-06,194,80,9,LL,iffy,sarah
EY17-06,281,71,177,,,sarah
EY17-06,188,85,108,N,,sarah
FL17-77,6,42,7,RL,,sarah
FL17-77,5,50,4,RL,,sarah
FL17-77,60,67,100,N,,sarah
FL17-79,206,35,7,LL,,sarah
FL17-79,308,67,,,"5cm, gouge",sarah
FL17-79,175,72,25,RL,,sarah
FL17-79,188,57,164,LL,,sarah
FL17-79,335,37,22,RL,red,sarah
FL17-79,220,46,160,LL,red,sarah
FL17-79,170,41,16,RL,WHITE,sarah
FL17-79,55,57,,,"red, cataclasite",sarah
FL17-79,72,80,130,TL,,sarah
FL17-79,56,61,173,RL,dike margin,sarah
FL17-79,25,46,175,RL,,sarah
FL17-79,348,40,,,,sarah
FL17-79,65,63,37,NL,,sarah
FL17-79,340,36,,,,sarah
FL17-79,52,35,,N,,sarah
FL17-80,198,69,,LL,,sarah
FL17-80,17,66,,,,sarah
FL17-80,300,73,,,dike margin,sarah
FL17-80,50,65,,RL,in dike,sarah
FL17-82,292,90,,,2m zone,sarah
FL17-82,35,52,,NR,photo,sarah
FL17-82,128,31,125,,,sarah
FL17-83,21,40,75,N,"sketch, photo",sarah
FL17-83,43,67,172,LL,"sketch, photo",sarah
FL17-83,20,66,38,LL,normal marker disp,sarah
FL17-83,83,75,152,LL,normal marker disp,sarah
FL17-83,23,60,,N,,sarah
FL17-83,68,52,163,LL,corrugations 39SW,sarah
FL17-83,350,65,,,"5cm, gouge",sarah
FL17-83,355,70,,,,sarah
FL17-91,245,78,172,LL,,sarah
FL17-91,118,8,,,,sarah
FL17-91,210,86,16,RL,iffy,sarah
FL17-91,190,72,13,RL,iffy,sarah
FL17-92,326,82,,,.5 m crush zone,sarah
FL17-92,295,90,172,,,sarah
FL17-92,222,66,107,T,"black, xcut by next",sarah
FL17-92,126,66,,N,,sarah
FL17-92,218,90,9,LL,,sarah
FL17-92,270,80,38,N,small fault blocks,sarah
FL17-92,261,81,64,N,small fault blocks,sarah
FL17-92,25,80,144,NR,small fault blocks,sarah
FL17-92,350,86,0,,small fault blocks,sarah
FL17-92,194,70,3,LL,small fault blocks,sarah
FL17-92,122,88,115,,small fault blocks,sarah
FL17-92,105,776,105,T,small fault blocks,sarah
FL17-92,216,74,61,,small fault blocks,sarah
TJ17-40,209,82,,,red,sarah
TJ17-36A,10,78,13,LL,,sarah
TJ17-36A,105,64,,N,offset zeolite,sarah
TJ17-36A,87,45,158,RL,in dike,sarah
TJ17-36B,198,82,158,RL,iffy,sarah
TJ17-36B,87,45,158,RL,in dike,sarah
TJ17-36C,240,40,165,RL,,sarah
TJ17-36C,75,60,,,,sarah
TJ17-36C,92,75,5,LL,,sarah
TJ17-36C,74,77,6,,,sarah
TJ17-37A,100,90,167,RL,"iffy, RED",sarah
TJ17-37A,145,89,150,RL,iffy ,sarah
TJ17-37A,163,85,159,RL,,sarah
TJ17-37A,186,71,14,LL,"iffy, veined zone",sarah
TJ17-37A,180,81,3,LL,veined zone,sarah
TJ17-37A,155,73,169,RL,,sarah
TJ17-37A,135,72,169,RL,,sarah
TJ17-37A,193,89,147,LL,,sarah
TJ17-37A,193,90,171,LL,,sarah
TJ17-37A,196,50,170,LL,red,sarah
TJ17-37A,178,58,6,,red,sarah
TJ17-37A,3,87,21,LL,pink,sarah
TJ17-37A,256,70,83,,,sarah
TJ17-37A,196,87,155,RL,,sarah
TJ17-37A,200,79,178,LL,red,sarah
TJ17-37A,5,73,21,LL,iffy,sarah
TJ17-37A,147,58,169,RL,red,sarah
TJ17-37A,188,78,146,LL,red,sarah
TJ17-37A,119,79,172,RL,pink,sarah
TJ17-37A,175,83,,,rubble,sarah
TJ17-37A,135,78,168,RL,red,sarah
TJ17-37A,200,82,175,LL,,sarah
TJ17-37A,185,70,156,LL,"red, big, photo",sarah
TJ17-37B,280,82,,RL,in b.z.,sarah
TJ17-37B,112,70,0,RL,,sarah
TJ17-37B,7,73,0,LL,from offset,sarah
TJ17-37B,242,50,102,,,sarah
TJ17-37B,343,31,,,,sarah
TJ17-37B,205,73,162,RL,red,sarah
TJ17-37C,38,58,112,N,,sarah
TJ17-37C,196,88,76,T,,sarah
TJ17-37C,10,68,,,shallow,sarah
TJ17-37D,190,80,,,eroded out,sarah
TJ17-37D,195,80,,,eroded out,sarah
TJ17-37D,175,80,,,,sarah
TJ17-37D,87,85,115,TR,,sarah
