site,easting,northing,strike,dip
A,630826.5828,7341106.02,190,72
A,630826.5828,7341106.02,143,72
A,630826.5828,7341106.02,261,83
A,630826.5828,7341106.02,268,76
A,630826.5828,7341106.02,288,85
A,630826.5828,7341106.02,289,83
A,630826.5828,7341106.02,293,85
A,630826.5828,7341106.02,307,87
A,630826.5828,7341106.02,338,58
A,630826.5828,7341106.02,343,82
A,630826.5828,7341106.02,342,78
A,630826.5828,7341106.02,337,77
A,630826.5828,7341106.02,330,81
A,630826.5828,7341106.02,317,89
A,630826.5828,7341106.02,318,84
A,630826.5828,7341106.02,323,80
A,630826.5828,7341106.02,320,76
A,630826.5828,7341106.02,316,72
A,630826.5828,7341106.02,314,68
A,630826.5828,7341106.02,309,72
A,630826.5828,7341106.02,310,76
A,630826.5828,7341106.02,313,84
A,630826.5828,7341106.02,312,80
A,630826.5828,7341106.02,309,79
A,630826.5828,7341106.02,15,66
A,630826.5828,7341106.02,24,61
A,630826.5828,7341106.02,36,69
A,630826.5828,7341106.02,50,65
A,630826.5828,7341106.02,61,50
A,630826.5828,7341106.02,63,58
A,630826.5828,7341106.02,70,55
A,630826.5828,7341106.02,73,59
A,630826.5828,7341106.02,61,76
A,630826.5828,7341106.02,64,69
A,630826.5828,7341106.02,65,74
A,630826.5828,7341106.02,70,73
A,630826.5828,7341106.02,74,78
A,630826.5828,7341106.02,75,85
A,630826.5828,7341106.02,82,76
A,630826.5828,7341106.02,84,72
A,630826.5828,7341106.02,85,74
A,630826.5828,7341106.02,86,76
A,630826.5828,7341106.02,89,67
A,630826.5828,7341106.02,95,64
A,630826.5828,7341106.02,129,75
A,630826.5828,7341106.02,127,74
A,630826.5828,7341106.02,122,88
A,630826.5828,7341106.02,115,86
A,630826.5828,7341106.02,117,79
A,630826.5828,7341106.02,109,77
A,630826.5828,7341106.02,111,72
A,630826.5828,7341106.02,105,71
A,630826.5828,7341106.02,124,81
A,630826.5828,7341106.02,121,81
A,630826.5828,7341106.02,122,78
A,630826.5828,7341106.02,121,74
A,630826.5828,7341106.02,104,68
A,630826.5828,7341106.02,116,74
A,630826.5828,7341106.02,114,76
A,630826.5828,7341106.02,114,73
A,630826.5828,7341106.02,99,69
A,630826.5828,7341106.02,98,73
A,630826.5828,7341106.02,89,85
A,630826.5828,7341106.02,90,82
A,630826.5828,7341106.02,91,78
A,630826.5828,7341106.02,102,75
A,630826.5828,7341106.02,98,79
A,630826.5828,7341106.02,95,81
A,630826.5828,7341106.02,97,84
A,630826.5828,7341106.02,104,78
A,630826.5828,7341106.02,104,85
A,630826.5828,7341106.02,102,84
A,630826.5828,7341106.02,100,81
A,630826.5828,7341106.02,105,81
A,630826.5828,7341106.02,103,82
A,630826.5828,7341106.02,96,81
A,630826.5828,7341106.02,291,84
A,630826.5828,7341106.02,104,82
A,630826.5828,7341106.02,97,80
B,640056.1591,7337744.998,218,82
B,640056.1591,7337744.998,219,89
B,640056.1591,7337744.998,170,61
B,640056.1591,7337744.998,149,61
B,640056.1591,7337744.998,145,51
B,640056.1591,7337744.998,154,28
B,640056.1591,7337744.998,211,31
B,640056.1591,7337744.998,231,28
B,640056.1591,7337744.998,237,32
B,640056.1591,7337744.998,241,29
B,640056.1591,7337744.998,239,26
B,640056.1591,7337744.998,279,73
B,640056.1591,7337744.998,281,84
B,640056.1591,7337744.998,278,88
B,640056.1591,7337744.998,288,87
B,640056.1591,7337744.998,311,85
B,640056.1591,7337744.998,317,69
B,640056.1591,7337744.998,315,88
B,640056.1591,7337744.998,352,64
B,640056.1591,7337744.998,5,79
B,640056.1591,7337744.998,15,77
B,640056.1591,7337744.998,17,71
B,640056.1591,7337744.998,20,67
B,640056.1591,7337744.998,23,62
B,640056.1591,7337744.998,24,76
B,640056.1591,7337744.998,34,73
B,640056.1591,7337744.998,41,81
B,640056.1591,7337744.998,37,67
B,640056.1591,7337744.998,44,65
B,640056.1591,7337744.998,44,53
B,640056.1591,7337744.998,56,69
B,640056.1591,7337744.998,57,57
B,640056.1591,7337744.998,73,73
B,640056.1591,7337744.998,78,71
B,640056.1591,7337744.998,71,51
B,640056.1591,7337744.998,77,57
B,640056.1591,7337744.998,80,54
B,640056.1591,7337744.998,92,62
B,640056.1591,7337744.998,99,52
B,640056.1591,7337744.998,103,52
B,640056.1591,7337744.998,107,59
B,640056.1591,7337744.998,101,67
B,640056.1591,7337744.998,110,68
B,640056.1591,7337744.998,135,56
B,640056.1591,7337744.998,134,63
B,640056.1591,7337744.998,135,68
B,640056.1591,7337744.998,127,69
B,640056.1591,7337744.998,143,75
B,640056.1591,7337744.998,147,80
B,640056.1591,7337744.998,145,84
B,640056.1591,7337744.998,135,79
B,640056.1591,7337744.998,134,83
B,640056.1591,7337744.998,122,79
B,640056.1591,7337744.998,117,82
B,640056.1591,7337744.998,116,76
B,640056.1591,7337744.998,100,85
B,640056.1591,7337744.998,107,80
B,640056.1591,7337744.998,110,80
B,640056.1591,7337744.998,104,76
B,640056.1591,7337744.998,101,79
B,640056.1591,7337744.998,101,75
B,640056.1591,7337744.998,108,80
B,640056.1591,7337744.998,100,77
C,635158.6907,7330369.838,221,76
C,635158.6907,7330369.838,261,68
C,635158.6907,7330369.838,321,84
C,635158.6907,7330369.838,348,80
C,635158.6907,7330369.838,356,81
C,635158.6907,7330369.838,9,80
C,635158.6907,7330369.838,12,78
C,635158.6907,7330369.838,12,74
C,635158.6907,7330369.838,28,49
C,635158.6907,7330369.838,28,44
C,635158.6907,7330369.838,19,79
C,635158.6907,7330369.838,21,84
C,635158.6907,7330369.838,31,64
C,635158.6907,7330369.838,35,63
C,635158.6907,7330369.838,27,74
C,635158.6907,7330369.838,80,72
C,635158.6907,7330369.838,73,75
C,635158.6907,7330369.838,69,87
C,635158.6907,7330369.838,66,75
C,635158.6907,7330369.838,54,66
C,635158.6907,7330369.838,54,81
C,635158.6907,7330369.838,48,79
C,635158.6907,7330369.838,46,72
C,635158.6907,7330369.838,24,85
C,635158.6907,7330369.838,25,82
C,635158.6907,7330369.838,27,80
C,635158.6907,7330369.838,32,76
C,635158.6907,7330369.838,31,84
C,635158.6907,7330369.838,33,83
C,635158.6907,7330369.838,37,79
C,635158.6907,7330369.838,39,79
C,635158.6907,7330369.838,41,75
C,635158.6907,7330369.838,42,78
C,635158.6907,7330369.838,42,81
C,635158.6907,7330369.838,40,80
C,635158.6907,7330369.838,25,83
D,643426.7319,7314222.758,96,67
D,643426.7319,7314222.758,141,66
D,643426.7319,7314222.758,160,80
D,643426.7319,7314222.758,276,84
D,643426.7319,7314222.758,239,66
D,643426.7319,7314222.758,238,71
D,643426.7319,7314222.758,220,58
D,643426.7319,7314222.758,219,72
D,643426.7319,7314222.758,214,70
D,643426.7319,7314222.758,196,50
D,643426.7319,7314222.758,198,56
D,643426.7319,7314222.758,181,58
D,643426.7319,7314222.758,184,60
D,643426.7319,7314222.758,188,81
D,643426.7319,7314222.758,184,71
D,643426.7319,7314222.758,203,62
D,643426.7319,7314222.758,205,65
D,643426.7319,7314222.758,187,71
D,643426.7319,7314222.758,190,71
D,643426.7319,7314222.758,192,72
D,643426.7319,7314222.758,194,70
D,643426.7319,7314222.758,201,74
D,643426.7319,7314222.758,199,71
E,627957.5625,7314235.993,129,58
E,627957.5625,7314235.993,132,63
E,627957.5625,7314235.993,145,48
E,627957.5625,7314235.993,154,70
E,627957.5625,7314235.993,156,85
E,627957.5625,7314235.993,183,37
E,627957.5625,7314235.993,169,44
E,627957.5625,7314235.993,167,50
E,627957.5625,7314235.993,171,54
E,627957.5625,7314235.993,183,52
E,627957.5625,7314235.993,190,59
E,627957.5625,7314235.993,198,54
E,627957.5625,7314235.993,179,69
E,627957.5625,7314235.993,171,78
E,627957.5625,7314235.993,168,82
E,627957.5625,7314235.993,183,84
E,627957.5625,7314235.993,198,86
E,627957.5625,7314235.993,210,88
E,627957.5625,7314235.993,251,78
E,627957.5625,7314235.993,299,87
E,627957.5625,7314235.993,337,86
E,627957.5625,7314235.993,348,81
E,627957.5625,7314235.993,355,80
E,627957.5625,7314235.993,355,85
