station,strike,dip,width,shear,fill,recorder,comments
FL17-79,275,90,200,,,sarah,2m wide
FL17-79,100,42,1000,,veins,sarah,"10m pulv, 3m veined core"
FL17-80,312,70,50,,veins,sarah,".5m, pink, eroded, braided, veins adj."
FL17-82,70,60,,,,sarah,
TJ17-40,10,88,100,,gouge,sarah,"1m damage, 2-5cm gouge core, anasthamosing"
TJ17-40,230,75,100,,gouge,sarah,"1m damage, 2-5cm gouge core"
FL17-67,300,75,100,,red,sarah,"red, 1m zone"
FL17-67,345,90,,,,sarah,margin of last
FL17-67,0,70,,,,sarah,"same, photos"
FL17-67,348,75,,,,sarah,"same, photos"
FL17-67,5,75,30,,crushed,sarah,30 cm pulverized
FL17-67,157,60,,,,sarah,"biggest, in 10m zone"
FL17-67,141,60,,,,sarah,zone margin
FL17-67,155,53,,,,sarah,
FL17-67,138,72,,,,sarah,
FL17-68,345,70,,,cataclasite,sarah,cataclasite
FL17-68,70,75,,RL,,sarah,eroded out
FL17-69,145,50,,N,,sarah,"many meters offset, photo"
FL17-69,210,60,,N,,sarah,in diamictite
FL17-69,5,80,,LL,,sarah,
FL17-69,190,43,,N,,sarah,
FL17-69,90,40,,N,,sarah,
FL17-69,132,62,,,,sarah,in dike
FL17-69,50,62,10,,red gouge,sarah,"10cm, red gouge"
FL17-69,335,69,10,,red gouge,sarah,"10cm, red gouge"
FL17-69,75,57,50,,,sarah,.2-1m
FL17-69,54,62,100,,breccia,sarah,"1m, breccia, no gouge"
FL17-69,45,60,200,,gouge,sarah,2-3m gouge
FL17-69,34,82,100,,red,sarah,"red, 1m"
FL17-69,190,65,50,,,sarah,".5m, eroded out"
FL17-69,164,75,10,,,sarah,10cm
FL17-69,118,62,20,,veins,sarah,"20cm, anasthamosing"
FL17-74,122,60,,,,sarah,
FL17-74,21,74,,,,sarah,thru outcrop
FL17-74,352,90,100,,,sarah,"1m eroded, thru outcrop"
FL17-74,149,62,,,,sarah,
FL17-74,142,72,,,,sarah,
FL17-74,13,72,,,,sarah,
TJ17-38,65,80,,,listric,sarah,listric
TJ17-38,70,55,,,listric,sarah,"iffy, listric"
FL17-79,80,50,20,,gouge,sarah,20cm gouge
FL17-79,351,48,,,red,sarah,red
TJ17-36 C,192,81,,,,seth,
FL17-68,355,65,100,NL,,seth,"1m,  xcuts 1st 3 faults"
FL17-69,346,67,,,,seth,
FL17-69,117,78,200,,,seth,"2m, air"
FL17-71,86,54,100,,crushed red,seth,"1m crush, red core"
FL17-71,125,73,,TR,,seth,photo
FL17-71,25,61,100,,red,seth,"1m, red core, xcuts next"
FL17-71,66,52,100,,red,seth,"1m, red core"
FL17-72,9,74,,,,seth,
FL17-72,35,52,,NR,,seth,
FL17-72,74,60,,NL,,seth,
FL17-74,15,85,,,veins,seth,"thick vein core, 2 parallel"
FL17-75 A,145,85,5,,,seth,5cm core
FL17-88,19,49,5,,gouge,seth,"5cm, gouged"
FL17-94,70,70,,,,seth,"photo, >10m disp. "
FL17-78,24,73,50,LL,,seth,".5m core, offsets flow top"
FL17-80,59,61,50,TR,breccia,seth,"B, .5m, b.z. that cuts flow top"
FL17-80,65,72,,,,seth,"photo, same zone"
