station,strike,dip,width (cm),motion,color,recorder
FJ1,76,89,,,,fjader
FJ1,84,87,,,,fjader
FJ1,100,89,,,,fjader
FJ1,56,90,,,,fjader
FJ1,58,86,,,,fjader
FJ1,64,87,,,,fjader
FJ1,70,81,,,,fjader
FJ1,87,72,,,,fjader
FJ1,94,78,,,,fjader
FJ1,101,80,,,,fjader
FJ1,106,80,,,,fjader
FJ1,100,75,,,,fjader
FJ1,105,73,,,,fjader
FJ1,114,82,,,,fjader
FJ1,66,72,,,,fjader
FJ1,68,71,,,,fjader
FJ1,75,73,,,,fjader
FJ1,76,70,,,,fjader
FJ1,79,64,,,,fjader
FJ1,58,64,,,,fjader
FJ1,68,60,,,,fjader
FJ1,70,60,,,,fjader
FJ1,79,54,,,,fjader
FJ1,78,52,,,,fjader
FJ1,89,52,,,,fjader
FJ1,92,52,,,,fjader
FJ1,100,54,,,,fjader
FJ1,112,61,,,,fjader
FJ1,80,48,,,,fjader
FJ1,92,46,,,,fjader
FJ1,90,45,,,,fjader
FJ1,89,48,,,,fjader
FJ1,68,48,,,,fjader
FJ1,58,54,,,,fjader
FJ1,63,48,,,,fjader
FJ1,51,50,,,,fjader
FJ1,49,55,,,,fjader
FJ1,46,61,,,,fjader
FJ1,43,49,,,,fjader
FJ1,41,51,,,,fjader
FJ1,39,56,,,,fjader
FJ1,39,63,,,,fjader
FJ1,33,74,,,,fjader
FJ1,29,58,,,,fjader
FJ1,26,64,,,,fjader
FJ1,26,80,,,,fjader
FJ1,23,72,,,,fjader
FJ1,17,59,,,,fjader
FJ1,20,77,,,,fjader
FJ1,19,79,,,,fjader
FJ1,16,83,,,,fjader
FJ1,32,47,,,,fjader
FJ1,31,43,,,,fjader
FJ1,28,42,,,,fjader
FJ1,54,41,,,,fjader
FJ1,40,41,,,,fjader
FJ1,44,38,,,,fjader
FJ1,48,38,,,,fjader
FJ1,26,30,,,,fjader
FJ1,24,27,,,,fjader
FJ1,42,32,,,,fjader
FJ1,46,32,,,,fjader
FJ1,47,31,,,,fjader
FJ1,56,29,,,,fjader
FJ1,67,28,,,,fjader
FJ1,99,36,,,,fjader
FJ1,132,32,,,,fjader
FJ1,134,42,,,,fjader
FJ1,129,49,,,,fjader
FJ1,135,61,,,,fjader
FJ1,144,66,,,,fjader
FJ1,145,81,,,,fjader
FJ1,170,70,,,,fjader
FJ1,170,73,,,,fjader
FJ1,177,54,,,,fjader
FJ1,6,23,,,,fjader
FJ1,2,77,,,,fjader
FJ1,6,64,,,,fjader
FJ1,3,57,,,,fjader
FJ1,1,66,,,,fjader
FJ1,351,75,,,,fjader
FJ1,351,71,,,,fjader
FJ1,351,68,,,,fjader
FJ1,347,68,,,,fjader
FJ1,346,69,,,,fjader
FJ1,350,58,,,,fjader
FJ1,351,50,,,,fjader
FJ1,350,35,,,,fjader
FJ1,341,79,,,,fjader
FJ1,338,72,,,,fjader
FJ1,342,63,,,,fjader
FJ1,341,60,,,,fjader
FJ1,336,64,,,,fjader
FJ1,332,71,,,,fjader
FJ1,329,47,,,,fjader
FJ1,326,48,,,,fjader
FJ1,322,76,,,,fjader
FJ1,312,71,,,,fjader
FJ1,311,64,,,,fjader
FJ1,310,82,,,,fjader
FJ1,308,83,,,,fjader
FJ1,308,89,,,,fjader
FJ1,303,81,,,,fjader
FJ1,302,85,,,,fjader
FJ1,291,77,,,,fjader
FJ1,289,80,,,,fjader
FJ1,277,83,,,,fjader
FJ1,265,54,,,,fjader
FJ1,272,29,,,,fjader
FJ1,257,59,,,,fjader
FJ1,260,76,,,,fjader
FJ1,264,85,,,,fjader
FJ1,255,81,,,,fjader
