station,strike,dip,width (cm),shear,color,recorder,comments
TJ14-04,210,60,20,,,ST,
TJ14-04,166,80,,,,ST,
TJ14-04,29,63,10,,,ST,
TJ14-04,160,90,,,,ST,
TJ14-04,110,62,15, N ,,ST,
TJ14-04,345,78,,,,ST,
TJ14-04,153,85,10,RL,,ST,
TJ14-07,85,80,,,,ST,
TJ14-07,72,82,,,,ST,
TJ14-07,236,80,,,,ST,
TJ14-10,55,80,20,,,ST,
FL16-64,35,55,,,,ST,
FL16-66 B,110,80,,,,ST,
FL16-66 B,66,60,,,,ST,
TJ17-38,225,90,,,,ST,
EY17-01,284,84,,,,ST,
EY17-01,288,66,,,,ST,
EY17-01,153,81,,,,ST,
EY17-01,206,85,,,,ST,
EY17-01,194,74,,,,ST,
EY17-01,218,71,,,,ST,
EY17-04,18,55,,,,ST,
FL17-77,60,67,,,,ST,
FL17-79,111,73,0.5,,,ST,
FL17-79,40,67,,,,ST,
FL17-79,34,61,,,,ST,
FL17-79,216,67,,,,ST,
FL17-79,94,62,,,,ST,
FL17-79,75,68,,,,ST,
FL17-79,218,77,,,,ST,
FL17-79,11,63,,,,ST,
FL17-79,84,70,,,,ST,
FL17-79,61,57,,,,ST,
FL17-80,57,80,,LL,,ST,
FL17-82,253,76,,,,ST,
FL17-82,252,72,,,,ST,
FL17-82,72,78,,,,ST,
FL17-82,276,77,,,,ST,
FL17-82,68,63,,,,ST,
FL17-82,126,62,,,,ST,
FL17-82,133,61,,,,ST,
FL17-82,296,90,,,,ST,
FL17-82,101,65,,,,ST,
FL17-82,35,65,,,,ST,
FL17-82,101,72,,,,ST,
FL17-82,271,88,,,,ST,
FL17-82,93,62,,,,ST,
FL17-82,48,50,,,,ST,
FL17-82,116,67,,NL,,ST,
FL17-83,224,71,5,,red,ST,
FL17-83,34,55,,,white,ST,
FL17-83,63,65,,,red,ST,
FL17-83,77,65,,,,ST,
FL17-83,256,73,,,red,ST,
FL17-83,45,65,,,,ST,
FL17-83,336,76,,,,ST,
FL17-83,80,71,,,,ST,
FL17-92,203,80,,,,ST,
FL17-92,198,60,,,,ST,
FL17-92,248,75,,,,ST,
TJ17-40,225,83,,,,ST,
TJ17-40,130,90,,,red,ST,
TJ17-40,165,90,,,,ST,
TJ17-36 A,150,90,,,,ST,
TJ17-36 B,42,58,,,,ST,
TJ17-36 C,100,80,,,,ST,
TJ17-36 C,70,59,,,,ST,
TJ17-36 C,60,62,,,,ST,
TJ17-36 C,310,44,,,,ST,
TJ17-36 C,75,73,,,,ST,
TJ17-36 C,72,68,,,,ST,
TJ17-37 A,215,57,40,,,ST,
TJ17-37 A,222,50,20,,,ST,
TJ17-37 B,105,58,,,,ST,
TJ17-37 B,129,40,,,,ST,
TJ17-37 B,190,81,10,,,ST,
TJ17-37 B,172,82,3,,,ST,
TJ17-37 B,85,38,10,,,ST,
TJ17-37 B,115,78,5,,,ST,
