station,strike,dip,width,color,comments,recorder
TJ17-38,120,75,50,fresh,fresh,ST
EY17-01,281,85,6,fresh,"fresh, wiggly",ST
EY17-01,226,73,700,,,ST
EY17-01,219,78,400,,,ST
EY17-01,220,75,300,,,ST
EY17-01,190,70,200,,,ST
EY17-04,25,79,25,,,ST
EY17-06,168,90,200,,,ST
EY17-06,351,82,100,fresh,fresh,ST
EY17-06,205,88,100,,,ST
FL17-79,42,52,50,,,ST
FL17-79,98,84,600,brown,brown,ST
FL17-79,83,78,,,same,ST
FL17-79,84,66,400,,,ST
FL17-80,90,81,20,,undeformed,ST
FL17-80,332,85,,,squiggly,ST
FL17-80,320,85,300,black,"black, undeformed",ST
FL17-80,302,82,800,,same package,ST
FL17-82,39,50,400,,,ST
FL17-82,95,85,30,,faulted,ST
FL17-82,84,83,100,,faulted,ST
FL17-82,87,82,200,,,ST
FL17-82,110,78,,fresh,fresh,ST
FL17-82,272,88,,,,ST
TJ17-36 A,135,78,,,,ST
TJ17-36 A,110,90,,,,ST
TJ17-36 B,45,90,,,,ST
TJ17-36 C,75,78,,,same,ST
TJ17-36 C,115,75,,,same,ST
TJ17-36 C,90,72,100,,,ST
TJ17-36 C,225,80,,,,ST
TJ17-37 A,153,79,,,,ST
TJ17-37 B,180,90,,,,ST
TJ17-37 B,327,78,200,,same,ST
TJ17-37 B,327,58,200,,same,ST
TJ17-37 B,322,78,,,fat,ST
TJ17-37 E,85,58,,,,ST
TJ17-37 E,45,90,,,big,ST
TJ17-37 E,195,82,,,,ST
TJ17-37 E,115,70,200,,,ST
TJ17-37 E,107,78,,,not fractured,ST
TJ17-37 E,155,85,,,not fractured,ST
TJ17-37 E,175,86,,,not fractured,ST
TJ17-40,80,78,,,,ST
FL17-67,144,73,20,fresh,"fresh, undefm",ST
FL17-67,135,70,,,sheared,ST
FL17-67,140,50,,,intradike,ST
FL17-67,235,65,5,,,ST
FL17-67,135,60,300,veins,vein shot,ST
FL17-67,145,60,,,,ST
FL17-67,135,72,,,,ST
FL17-69,50,72,,black,"black, unfractured",ST
FL17-69,105,62,,black,"black, faulted",ST
FL17-69,39,79,25,green,"green, xcuts next",ST
FL17-69,60,50,,,,ST
FL17-69,26,70,20,,"chewed, eroding",ST
FL17-69,96,62,40,,"jags, photo",ST
FL17-70,90,58,30,black,"black, no veins",ST
FL17-70,15,85,100,,"photo, faulted",ST
FL17-71,146,86,,,mostly endeformed,ST
FL17-71,134,57,30,,used as fault,ST
FL17-71,309,75,,,,ST
FL17-71,50,60,100,,bound by B.Z.,ST
FL17-72,122,86,,brown,"brown, faulty, zone of several",ST
