station,strike,dip,comments,recorder
EY17-01,4,20,vesicles,sarah
EY17-04,140,16,vesicles,sarah
EY17-06,111,10,vesicles,sarah
FL17-77,184,47,vesicles,sarah
FL17-79,191,38,vesicles,sarah
FL17-79,190,42,top,sarah
FL17-82,214,30,top,sarah
FL17-82,201,42,vesicles,sarah
FL17-83,205,24,top,sarah
FL17-83,222,32,top,sarah
FL17-92,20,20,weathering,sarah
TJ17-40,5,12,,sarah
TJ17-36 A,310,31,vesicles,sarah
TJ17-36 B,310,36,vesicles,sarah
TJ17-36 B,280,32,vesicles,sarah
TJ17-36 C,293,30,,sarah
TJ17-36 C,275,16,vesicles,sarah
TJ17-37 A,265,46,flow top,sarah
TJ17-37 A,260,36,flow top,sarah
TJ17-37 C,289,28,flow top,sarah
TJ17-37 D,305,26,red flow top,sarah
TJ17-37 D,325,30,vesicles,sarah
TJ17-40,213,21,vesicles,sarah
TJ17-40,200,18,air,sarah
TJ17-40,200,25,,sarah
TJ17-40,210,30,,sarah
TR17-09,140,30,air,sarah
TR17-09,135,20,air,sarah
FL17-67,260,30,flow banding,sarah
FL17-67,252,23,good bandnig,sarah
FL17-67,225,32,flow top,sarah
FL17-67,228,31,flow top,sarah
FL17-68,180,30,flow top,sarah
FL17-68,178,34,vesicles,sarah
FL17-68,206,8,vesicles,sarah
FL17-68,205,30,"good, vesicles",sarah
FL17-68,234,36,"good, flow top",sarah
FL17-69,250,45,flow top,sarah
FL17-69,230,28,air,sarah
FL17-69,215,40,vesicles,sarah
FL17-69,222,43,vesicles,sarah
FL17-70,252,39,vesicles,sarah
FL17-70,244,36,vesicles,sarah
FL17-71,320,30,vesicles in top,sarah
FL17-71,210,20,empty holes,sarah
FL17-71,160,3,red flow top,sarah
FL17-71,201,31,flow top,sarah
FL17-71,194,21,vesicles,sarah
FL17-71,201,38,vesicles,sarah
FL17-73,173,29,"bad, vesicles",sarah
FL17-73,205,25,air,sarah
FL17-74,320,30,,sarah
FL17-74,225,34,vesicles,sarah
FL17-75 A,234,30,vesicles,sarah
FL17-75 A,231,29,vesicles,sarah
FL17-75 B,225,36,vesicles,sarah
TJ17-38,180,25,vesicles,sarah
EY17-07,10,10,iffy,sarah
FL17-76,180,28,vesicles,sarah
FL17-76,180,36,flow banding,sarah
FL17-76,205,38,flow top,sarah
FL17-77,219,50,vesicles,sarah
FL17-81,204,36,"flow top, iffy",sarah
FL17-82,256,42,,sarah
FL17-83,176,30,"vesicles, iffy",sarah
FL17-84,215,30,,sarah
FL17-85,220,30,vesicles,sarah
FL17-85,188,30,vesicles,sarah
FL17-85,187,19,vesicles,sarah
FL17-85,178,26,weathering ,sarah
FL17-86,168,16,weathering ,sarah
FL17-86,175,30,vesicles,sarah
FL17-86,178,32,vesicles,sarah
