 ,easting,northing,strike,dip,length
1,624467.8742,7341803.87,129.942,90,730.732
2,623519.6754,7341670.764,152.927,90,751.316
3,624480.8275,7341344.734,129.252,90,313.906
4,628427.63,7341215.502,115.441,90,612.374
5,628386.4617,7341050.585,113.823,90,1060.076
6,622768.1324,7340586.465,133.923,90,1698.18
7,622965.1963,7340669.359,131.86,90,1384.274
8,626703.2083,7340754.648,102.985,90,643.25
9,622276.8122,7340564.935,101.976,90,915.988
10,626463.1415,7340640.034,100.191,90,596.936
11,621874.5856,7340354.695,121.127,90,1121.828
12,635413.1607,7340329.501,113.925,90,1029.2
13,626491.042,7340304.21,99.715,90,360.22
14,626561.8534,7340178.132,88.419,90,895.404
15,626509.4791,7339975.085,96.36,90,313.906
16,638304.3515,7339023.091,165.955,90,1595.26
17,638043.0643,7339198.818,167.682,90,1132.12
18,626390.4569,7339138.386,114.859,90,843.944
19,633094.633,7338718.904,165.946,90,1065.222
20,633717.361,7338749.413,144.162,90,807.922
21,640072.267,7337817.3,104.574,90,1322.522
22,624500.8018,7337759.393,132.81,90,1456.318
23,632958.539,7337714.273,127.403,90,1147.558
24,632802.137,7337552.803,131.345,90,972.594
25,635151.4042,7337245.215,99.533,90,874.82
26,624448.757,7335027.484,121.88,90,6252.39
27,625855.072,7336404.997,111.163,90,1446.026
28,628952.5999,7336390.35,121.408,90,988.032
29,640433.1437,7335831.878,104.901,90,1358.544
30,625771.6026,7336131.773,99.19,90,1049.784
31,625215.2192,7335845.204,155.594,90,828.506
32,625670.5385,7335948.733,113.049,90,1013.762
33,630194.1252,7335959.113,96.094,90,869.674
34,642066.0886,7334811.601,138.44,90,1240.186
35,629217.2607,7335127.863,139.627,90,730.732
36,624011.7271,7334412.972,116.693,90,658.688
37,623849.6989,7334149.193,120.519,90,447.702
38,623641.5228,7333933.703,96.36,90,313.906
39,629139.8103,7333681.511,114.926,90,1394.566
40,623671.854,7333678.244,96.262,90,524.892
41,625953.0457,7333186.846,114.11,90,1013.762
42,625447.0839,7332880.253,130.812,90,921.134
43,630991.8057,7332752.626,138.826,90,1018.908
44,622089.3059,7332681.779,109.506,90,1281.354
45,634425.5275,7331154.875,128.354,90,1245.332
46,642632.0486,7330349.194,150.716,90,1307.084
47,629701.6925,7330763.518,120.547,90,1322.522
48,636678.1676,7330563.847,150.556,90,972.594
49,636136.3286,7330250.979,122.587,90,1096.098
50,646600.1611,7329239.225,120.06,90,1353.398
51,646153.2079,7329170.435,91.787,90,725.586
52,627014.8103,7329734.21,114.733,90,1106.39
53,642695.3699,7328657.322,158.006,90,967.448
54,642886.1809,7328656.179,157.535,90,967.448
55,645717.2423,7327099.818,116.515,90,1301.938
56,636105.3076,7327647.635,101.807,90,2320.846
57,623257.064,7327108.463,137.555,90,653.542
58,641803.8949,7326646.095,98.293,90,1631.282
59,641709.446,7325655.688,80.104,90,1991.502
60,643873.7746,7325298.002,127.609,90,1219.602
61,642494.6335,7323849.081,79.511,90,1507.778
62,636232.0565,7321230.923,140.126,90,1024.054
63,627127.9606,7320575.494,117.246,90,2238.51
64,623107.5426,7341588.613,3.663,90,763.088
65,624581.3037,7341726.933,176.12,90,551.692
66,624038.7738,7341742.761,40.888,90,613.564
67,625079.5845,7341398.133,19.844,90,706.372
68,623395.3741,7341277.42,43.769,90,1046.668
69,629900.3699,7340958.036,38.692,90,1129.164
70,630623.3598,7341074.195,16.914,90,587.784
71,624982.1363,7340322.804,42.617,90,2021.152
72,631288.6276,7340941.383,48.626,90,464.04
73,628747.8178,7340617.974,45.885,90,1118.852
74,628886.2052,7340437.398,54.359,90,1031.2
75,634520.6891,7340165.813,162.353,90,1175.568
76,626726.4407,7339963.515,33.065,90,1361.184
77,630870.7663,7339326.996,16.863,90,2675.964
78,622877.9216,7338951.084,39.231,90,3908.248
79,629375.2348,7338608.812,35.648,90,4552.748
80,625143.7291,7339816.401,47.89,90,1582.892
81,635637.1436,7339708.303,39.714,90,1608.672
82,629913.9764,7340112.701,63.361,90,659.968
83,628748.9258,7339889.241,75.891,90,861.052
84,637935.6926,7339133.168,36.913,90,1423.056
85,633319.8019,7339437.532,26.641,90,861.052
86,636990.0564,7339195.614,38.795,90,1221.972
87,628054.3833,7338121.04,18.734,90,3021.416
88,639181.7167,7338812.753,43.513,90,1144.632
89,626406.7508,7338725.524,6.144,90,1319.936
90,627219.1554,7338964.615,26.902,90,861.052
91,626177.2954,7338867.668,4.975,90,520.756
92,623275.4393,7337395.629,36.768,90,3810.284
93,634154.0521,7338091.082,21.845,90,1680.856
94,630313.6937,7335743.562,39.497,90,7764.936
95,631869.385,7338007.231,37.434,90,1644.764
96,640156.7568,7337908.151,49.854,90,1196.192
97,625916.6766,7338173.149,42.262,90,1191.036
98,624208.8406,7335727.221,30.728,90,5718.004
99,623926.5636,7337064.701,22.318,90,1582.892
100,623775.2266,7337315.408,6.291,90,763.088
101,625568.5162,7337176.355,14.851,90,1077.604
102,626365.4096,7337368.163,72.396,90,1273.532
103,629576.3549,7337258.941,78.687,90,2041.776
104,626391.2801,7337170.283,75.951,90,1392.12
105,624184.3555,7336901.348,39.159,90,1026.044
106,629966.4567,7336324.532,56.902,90,3232.812
107,633444.3673,7336790.482,44.504,90,1046.668
108,637915.5503,7336204.296,14.83,90,1433.368
109,635077.1924,7336753.03,62.845,90,1551.956
110,629903.7754,7336724.024,68.6,90,1330.248
111,635473.7523,7336209.049,27.709,90,1706.636
112,640807.9809,7335959.1,50.043,90,1216.816
113,632895.1416,7335563.708,20.25,90,1500.396
114,642220.4688,7335035.719,24.599,90,1304.468
115,624660.0377,7335766.758,15.864,90,618.72
116,624952.3187,7335758.272,16.612,90,618.72
117,622459.5712,7335417.755,8.462,90,1118.852
118,633368.1423,7335316.717,177.716,90,1206.504
119,642735.547,7334935.645,57.184,90,1067.292
120,631344.6665,7334978.24,21.39,90,1820.068
121,643128.5001,7334412.815,33.996,90,1412.744
122,629247.7582,7335602.014,77.382,90,644.5
123,622765.8961,7334790.502,13.292,90,1557.112
124,622699.7721,7335174.989,11.856,90,783.712
125,636181.0625,7335076.183,64.084,90,1350.872
126,623290.4292,7334797.243,20.702,90,1185.88
127,634206.2866,7334327.401,37.763,90,2273.796
128,643333.6149,7333945.167,42.942,90,1459.148
129,628048.4722,7333741.602,27.883,90,3072.976
130,635576.725,7333707.98,19.885,90,1252.908
131,634747.3649,7333881.692,63.401,90,1273.532
132,623186.6875,7333468.507,17.913,90,1129.164
133,628916.4799,7332137.371,14.774,90,3026.572
134,630219.6162,7332269.615,40.859,90,1974.748
135,628316.592,7333018.291,5.715,90,726.996
136,623362.6008,7333163.014,59.876,90,1299.312
137,624859.0438,7332994.155,9.518,90,979.64
138,623950.7939,7332788.049,17.255,90,2423.32
139,641711.2573,7332187.373,43.177,90,1020.888
140,645327.1452,7331514.106,25.452,90,1108.54
141,645101.6988,7331641.552,40.093,90,902.3
142,622099.6247,7331971.42,4.795,90,1103.384
