site,easting,northing,strike,dip 
1,624518.2795,7341871.934,217.046,27
2,627982.1821,7341600.433,200.256,40
3,630817.2681,7341268.562,201.105,37
4,625212.9164,7341038.432,200.855,24
5,622849.8296,7340428.986,190.527,21
6,626398.5012,7340536.708,203.847,28
7,631531.9246,7340157.094,209.327,41
8,634535.0782,7340279.709,231.798,41
9,636054.3651,7339613.717,212.415,37
10,627073.367,7339040.905,197.881,38
11,625528.0612,7338910.874,188.915,26
12,632803.2523,7338726.835,225.973,33
13,637260.5988,7339198.778,230.187,37
14,623704.9065,7337717.46,174.757,20
15,633216.5734,7338137.237,208.631,32
16,635527.6444,7337757.529,228.079,31
17,639607.52,7338102.989,235.568,39
18,629114.2778,7337393.205,221.845,32
19,622151.5583,7336690.33,148.954,18
20,625737.7409,7336546.536,180.101,22
21,635690.9338,7336570.713,211.165,37
22,630975.2319,7335580.547,211.473,29
23,633724.3766,7335401.82,211.784,30
24,640077.6053,7335947.998,245.833,25
25,628097.7604,7334840.124,183.447,20
26,636767.3742,7335124.787,234.064,39
27,625898.4375,7334145.883,163.942,12
28,630721.347,7334306.423,195.05,27
29,642208.2865,7334864.187,210.371,24
31,634964.1566,7333510.837,206.199,32
32,630820.5798,7333128.393,185.518,20
33,623693.9474,7332709.575,176.66,17
34,628197.6508,7332893.259,172.766,19
35,637232.3267,7333472.768,216.757,38
37,638351.6649,7332767.105,212.731,35
38,642981.5474,7332858.59,222.698,9
39,624423.1852,7331651.294,145.632,12
40,626964.3752,7331295.151,156.171,12
41,625402.1101,7331191.147,158.771,11
42,639795.8413,7331607.431,214.07,24
43,636139.6156,7331179.728,192.292,26
44,632232.7192,7330992.136,167.897,19
45,629087.5253,7329787.61,148.008,9
46,623566.7507,7329307.961,158.768,11
47,633521.8,7329677.248,164.181,12
48,645513.7293,7330138.227,34.074,13
49,631238.9829,7329409.512,135.159,17
50,637716.1942,7329425.24,212.698,20
51,622648.0925,7328494.952,145.349,11
52,627285.9554,7328724.038,111.468,8
53,628723.7106,7328438.463,129.012,8
54,641703.0829,7328692.504,216.745,21
55,629742.3636,7327526.919,156.337,17
56,632096.8288,7327548.753,167.458,9
57,643481.1233,7327907.927,161.442,9
58,642381.3681,7327904.879,215.824,16
59,645696.4721,7327990.683,36.328,10
60,631356.6236,7327116.105,154.991,8
61,624903.0057,7326505.848,153.151,8
62,628998.0196,7326437.676,155.238,7
63,626133.6913,7325461.868,133.908,9
64,642567.5589,7325962.614,36.809,6
65,650143.8914,7326295.083,38.358,22
66,632759.0062,7324554.131,211.943,15
67,644589.7562,7325592.86,88.807,16
68,646742.6136,7325056.32,23.645,10
69,625676.4532,7324022.439,141.04,8
70,630576.5714,7324145.396,161.395,14
71,627792.1844,7324109.288,145.143,7
72,624245.2633,7322673.365,130.539,9
73,650509.2094,7323728.312,27.404,10
74,624371.5065,7322066.935,123.406,10
75,643317.5783,7322796.837,30.218,20
76,635999.5178,7322182.319,140.918,8
77,638911.8554,7322186.336,36.258,20
78,642840.622,7320831.692,47.651,22
79,626459.9228,7319985.182,131.654,8
80,649147.4763,7320644.101,40.244,10
82,644526.6808,7320440.846,90.613,29
83,641325.9559,7318756.502,22.139,20
84,627432.9903,7318223.714,135.964,8
85,646584.2113,7318304.723,39.138,14
86,636950.2602,7317959.155,66.215,5
87,642993.4707,7317532.767,33.732,25
88,651852.4758,7317648.179,26.181,3
89,627579.9205,7316201.521,120.976,7
90,631162.1031,7316297.074,148.75,13
91,654500.011,7317293.246,28.725,6
92,641450.4571,7316381.544,30.807,18
93,635164.3532,7315938.204,112.339,7
94,627350.6323,7315066.041,103.069,6
95,634490.8593,7313684.791,107.52,5
96,636597.2878,7311567.612,61.085,11
97,646788.4516,7311575.022,30.813,7
98,638657.2367,7310980.53,19.756,18
99,639647.4279,7310577.177,21.896,19
100,640583.4028,7309839.337,23.338,34
101,643545.2819,7310138.754,45.648,35
102,635442.1587,7309288.349,133.273,10
103,637031.9585,7309009.091,110.179,10
104,634644.1406,7307685.837,111.635,11
105,639285.3744,7307298.166,23.494,24
