station,strike,dip,trend,plunge,substation
F12,133,57,247.6,54.5,N1
F12,31,68,143.9,66.3,N1
F12,8.5,72,146.6,64.1,N1
F12,358,65,90.4,65,N1
F12,354,63,99.1,62.2,N1
F12,16,52,96.3,51.6,N1
F12,29,50,106.7,49.3,N1
F12,10,50,128.2,46.4,N1
F13,212,34,321.1,32.5,N1
F13,202,63,305,62.4,N1
F13,203,70,315.3,68.5,N1
F13,229,63,271.9,53.2,N1
F13,199,75,353,58.5,N1
F13,119,50,221.3,49.3,N1
F13,114,69,169.2,64.9,N1
F13,82,72,144.9,69.9,N1
F13,72,42,134.7,38.7,N1
F13,283,74,2.2,73.7,N1
F13,14,72,100.8,72,N1
F13,14,68,126.9,66.3,N1
F13,38,40,173.6,30.4,N1
F13,358,39,107,37.4,N1
F13,359,45,80.5,44.7,N1
F13,4,47,124.6,42.7,N1
F13,17,40,94,39.3,N1
F13,14,41,83.2,39.1,N1
F13,21,57,80.2,52.9,N1
F13,68,57,114.9,48.4,N1
F13,56,57,116.7,53.3,N1
F13,354,60,108.8,57.5,N1
F13,73,62,163,62,N1
F13,24,55,90.5,52.6,N1
F13,25.5,62,146.9,58.1,N1
F13,33,64,148.9,61.5,N1
F13,39,61,162.8,56.3,N1
F13,31,57,115.5,56.9,N1
F13,30,60,133.8,59.3,N1
F13,33,58,119.2,57.9,N1
F13,72,61,155.8,60.9,N1
F14,192,58,319.3,51.8,N1
F14,22,71,121.1,70.8,N1
F14,14,71,126.3,68.5,N1
F14,39.5,62,103.3,59.4,N1
F14,58,60,140,59.8,N1
F14,48,50,145.8,49.7,N1
F14,46,47,140.4,46.9,N1
F14,352,54,115.1,49.1,N1
F14,332,58,119.7,40.5,N1
F18C,280,31,309.1,16.3,N1
F18C,268,32,318.5,25.7,N1
F18C,181,56,338.2,29.9,N1
F18C,202,58,357.3,33.8,N1
F18C,234,58,335.2,57.5,N1
F18C,191,61,309.9,57.7,N1
F18C,81,48,143.8,44.6,N1
F18C,79,51,135,45.7,N1
F18C,34,69,59.4,48.2,N1
F18C,33,50,118.3,49.9,N1
F18C,27,78,51,62.4,N1
F18C,21,74,51.6,60.6,N1
F18C,18,76,60.1,69.6,N1
F18C,16,75,87.3,74.2,N1
F18C,32,58,135,57.3,N1
F18C,30,70,58.7,52.8,N1
F18C,22,67,101.9,66.7,N1
F18C,7,68,99.7,68,N1
F18C,16,66,135.6,62.9,N1
F18C,67,66,109.4,56.6,N1
F18C,49,68,85.3,55.7,N1
F18C,29,61,116.9,61,N1
F18C,44,64,85.9,53.9,N1
F18C,46,66,87.1,55.9,N1
F18C,47,59,91.1,49.2,N1
F18C,32,56,86.2,50.2,N1
F18C,44,54,105.1,50.3,N1
F18C,45,52,97.9,45.6,N1
F18C,36,53,114.5,52.4,N1
