station,strike,dip,width (cm),shear,color,recorder,comments
TJ18-37 A,115,52,10,RL,,ST,
TJ18-37 A,68,54,0.6,,,ST,
TJ18-37 A,54,83,7.5,,,ST,
TJ18-37 A,84,77,15,,,ST,
TJ18-37 A,3,72,,RL,"red, white",ST,
TJ18-37 A,195,80,,,,ST,
TJ18-37 A,51,71,,,,ST,
TJ18-37 E,213,89,,,,ST,
TJ18-37 E,90,87,5,,,ST,
TJ18-37 E,78,70,3,,,ST,
TJ18-37 E,64,73,,,,ST,
TJ18-37 E,65,85,,,,ST,
TJ18-37 E,215,60,,,,ST,
TJ18-37 E,228,52,2,,,ST,
TJ18-37 K,150,90,0.6,,,ST,
TJ18-37 E,42,80,8,,,ST,
TJ18-37 M,182,60,8,,,ST,
TJ18-37 M,190,82,,,,ST,
TJ18-37 M,50,60,1.6,,,ST,
TJ18-37 N,145,75,0.9,,"white, pale green",ST,
TJ18-37 T,30,78,25,,,ST,
TJ18-37 W/ S,170,85,,,,ST,
TJ18-37 W,116,65,4,,white,ST,
TJ18-37 W,128,70,4,,pink,ST,
TJ18-37 W,215,90,3,,"white, red inside",ST,
TJ18-37 W,192,90,4,,white,ST,
TJ18-37 W,15,68,2,,"white, red outside",ST,
TJ18-37 W,104,56,0.8,,,ST,
EY18-08 H,218,72,1000,,,ST,
FL18-71 E,130,50,50,,,ST,
FL18-72 D,78,65,,,,ST,
FL18-72 D,65,75,50,,"red, green",ST,
FL18-67-8,45,55,2500,,,ST,
FL18-67-8,50,62,,,"veins, gouge, red stain",ST,
FL18-67-10,50,63,,,,ST,
TR18-13,10,80,15,,,ST,
TR18-13,193,80,,,,ST,
FL18-97,195,85,,,,ST,
FL18-97,9,79,,,,ST,
FL18-97,354,72,100,,,ST,
FL18-97,185,88,,,white,ST,
FL18-97,150,85,5,,,ST,
FL18-97,355,73,,,,ST,
FL18-97 C,67,81,,,,ST,
FL18-97 C,325,85,,,white,ST,
FL18-98 A,180,84,0.5,,"white, syntectonic fibers",ST,
FL18-99 D,47,55,40,,,ST,
FL18-99,41,80,100,,,ST,
FL18-99,100,80,,,,ST,
FL18-99,60,85,,,,ST,
FL18-99,50,90,,LL,,ST,
FL18-99,35,90,2,,6 veins,ST,
FL18-99,29,70,15,,tan,ST,
FL18-100 C,325,88,,,,ST,
FL18-100 H,20,85,6,,,ST,
FL18-101 A,30,70,,,,ST,
TJ18-37 Z,114,60,2.5,,white,ST,
TJ18-37 Z,103,62,0.8,,white,ST,
TJ18-37 Z,91,62,0.8,,"pink, white",ST,
FL18-72 D,73,72,,,,ST,
Fl18-72 A,85,80,,,,ST,
FL18-72 D,87,60,,,,ST,
TJ18-42,45,90,5,LL,white,MB,
TJ18-42,65,90,,LL,white and brown,MB,
FL18-68 A,82,61,5,,,PA,
FL18-68 A,42,70,,,,PA,
FL18-68 A,282,73,1,,,PA,
FL18-68 A,36,82,2,,,PA,
FL18-68 E,102,41,5,,,PA,
FL18-68 E,88,78,,,,PA,
FL18-68 G,125,65,3,,,PA,
FL18-68 G,195,87,2,,,PA,
FL18-68 G,67,60,2,,,PA,
FL18-68 G,48,65,5,,,PA,
FL18-69 B,108,66,15,,red,PA,
FL18-69 B,91,67,20,,red and white,PA,
FL18-69 B,134,78,5,,red,PA,
FL18-69 C,21,42,10,,white,PA,
FL18-69 E,337,87,20,,red,PA,
FL18-69 E,37,80,5,,red,PA,
FL18-69 E,356,86,5,,red,PA,
FL18-67 A,10,78,20,,,PA,
FL18-67 B,109,59,20,,white,PA,
FL18-67 B,65,70,5,,white,PA,
FL18-67 B,18,90,30,,white,PA,
FL18-67 C,75,60,4,,"white, orange",PA,
FL18-75 A,105,60,2,,white,PA,
FL18-75 A,95,65,3,,white,PA,
FL18-75 A,99,50,10,,white,PA,
FL18-75 A,82,50,30,,white,PA,
FL18-75 A,202,77,50,,"lots of minerals, very deformed, white",PA,
FL18-75 A,140,50,10,,brecciated,PA,
FL18-75 A,95,70,3,,,PA,
FL18-75 A,116,63,20,,,PA,
FL18-75 A,30,45,15,,,PA,
FL18-75 B,116,63,20,,,PA,
FL18-75 B,30,45,15,,,PA,
FL18-75 B,54,51,10,,,PA,
FL18-75 B,38,64,30,,,PA,
FL18-75 B,24,67,10,,,PA,
FL18-75 C,71,37,5,,,PA,
FL18-96 C,176,90,100,,,PA,
FL18-99 C,64,60,10,,white,PA,
FL18-99 C,60,75,10,,white,PA,
FL18-99 F,10,61,10,,"white, red",PA,
FL18-99 F,271,67,10,,"white, pink",PA,
FL18-99 H,0,70,5,,brown clay,PA,
EY18-10 B,19,31,,,,SWS,
FlL18-69 B,308,85,,,,SWS,
FlL18-69 B,279,80,,,,SWS,
FlL18-69 B,199,40,20,,red,SWS,
FL18-69 C,220,76,30,,red,SWS,
FL18-69 C,49,64,50,,white,SWS,
FL18-69 D,60,59,50,,"pink, orange",SWS,
FL18-67 B,24,55,100,,,SWS,
FL18-67 C,359,82,150,,,SWS,
FL18-67 C,84,30,5,,,SWS,
FL18-67 D,73,64,5,,,SWS,
FL18-95 C,53,68,20,,,SWS,
FL18-95 C,68,57,5,,,SWS,
FL18-95 E,38,66,5,,,SWS,
FL18-95 E,40,52,5,,,SWS,
FL18-95 E,80,67,5,,,SWS,
FL18-95 E,65,45,20,,,SWS,
FL18-95 G,167,85,5,,,SWS,
FL18-95 G,130,54,30,,,SWS,
TR18-10,358,82,,,,SWS,
TR18-14,327,80,,,,SWS,
TR18-14,202,87,,,,SWS,
FL18-96 B,16,84,20,,,SWS,
FL18-96 B,72,77,,,,SWS,
FL18-99 C,296,74,big ,,,SWS,
FL18-99 C,26,68,10,,,SWS,
FL18-99 C,82,75,5,,,SWS,
FL18-99 H,66,86,5,,"white, grey",SWS,
FL18-99 H,80,90,,,"white, grey",SWS,
FL18-67 D,27,90,3,,,NH,
FL18-67 D,25,77,10,,white,NH,
FL18-67 E,41,72,6,,"white, clay",NH,
FL18-67 E,20,75,2,,,NH,
FL18-68 D,117,78,30,,,NH,
FL18-71 B,200,70,,,,NH,
