station,strike,dip,rake,width (cm),color,recorder,comments
EY18-08 A,153,84,21,,pink,ST,LL
EY18-08 C,15,15,0,,,ST,LL
EY18-08 C,200,80,0,,,ST,LL
EY18-08 C,195,82,355,,,ST,LL
EY18-08 E,336,74,198,,brown (once red?),ST,RL
EY18-08 E,350,45,198,,,SWS,RL
EY18-08 E,340,43,190,,,SWS,RL
EY18-08 F,178,60,10,,green,ST,LL
EY18-08 G,212,82,0,,,ST,LL
EY18-08 H,211,80,235,,,SWS,RL
EY18-08 I,45,90,267,,green,ST,RL
EY18-10 B,169,70,90,,,SWS,N
EY18-10 B,358,90,235,large,,SWS,RL
EY18-10 B,21,68,184,,,SWS,RL
EY18-10 C,95,90,285,,,ST,LL
EY18-10 C,9,88,186,,white,ST,RL
EY18-12,199,77,65,,,SWS,LL
EY18-12,183,17,0,,,SWS,LL
EY18-12,187,87,24,,,SWS,LL
EY18-12,198,79,75,large,,SWS,LL
EY18-12,153,87,186,,white,ST,RL
EY18-12,178,65,145,,"white, tan",NH,RL
EY18-13,35,90,186,,white,ST,LL
EY18-13,228,87,12,,"red, green, white",ST,LL
EY18-13,178,88,0,,,ST,LL
EY18-13,4,90,13,,,ST,LL
EY18-13,8,90,5,,,NH,LL
EY18-13,196,79,55,,,SWS,LL
EY18-13,333,90,180,,"red, white",ST,RL
EY18-13,153,74,168,,green,ST,RL
EY18-13,310,85,145,,,NH,RL
EY18-13,326,86,185,,,SWS,RL
FL18-100 G,336,77,32,,red,ST,LL
FL18-100 G,62,56,32,,red shiney,ST,LL
FL18-100 G,135,80,340,,red,NH,LL
FL18-100 G,284,56,270,,red,ST,N
FL18-100 G,330,72,50,,,SWS,N
FL18-100 G,316,53,50,,,SWS,N
FL18-100 G,326,70,48,,,SWS,N
FL18-100 G,275,90,196,,red,ST,RL
FL18-100 G,328,86,190,,"red, yellow",NH,RL
FL18-100 I,144,85,300,,,NH,LL
FL18-100 I,140,82,350,,"red, orange",NH,LL
FL18-67,342,87,35,,green,ST,LL
FL18-67,45,61,36,,"red, green",ST,LL
FL18-67,56,70,5,,green,ST,LL
FL18-67,252,50,126,,,ST,LL/N
FL18-67,54,85,184,,dark green,ST,RL
FL18-67 A,36,81,330,15,damage zone,PA,LL
FL18-67 A,217,54,45,,,PA,LL
FL18-67 A,330,66,100,,white,PA,N
FL18-67 A,168,81,125,0.5,damage zone,PA,N
FL18-67 A,348,85,155,,,PA,RL
FL18-67 A,14,70,235,50,"orange, green gouge",PA,RL/N
FL18-67 A,191,85,285,,,PA,T
FL18-67 B,320,90,75,,,PA,LL
FL18-67 B,346,56,188,,,SWS,N
FL18-67 B,0,60,70,5,gouge,PA,N
FL18-67 B,166,80,150,,,PA,RL
FL18-67 B,126,90,240,,,PA,RL
