station,strike,dip,width (cm),shear,color,recorder,comments
EY18-08 A,20,90,0.3,,white,ST,
EY18-08 A,28,90,0.4,,white,ST,
EY18-08 A,184,82,6,,opaque and clear white,ST,
EY18-08 A,199,72,1.5,,white,ST,
EY18-08 A,174,80,1,,white,ST,
EY18-08 A,193,88,,,pink,ST,
EY18-08 A,180,80,,,,ST,
EY18-08 A,205,80,0.4,,white,SWS,
EY18-08 A,18,87,0.2,,white,SWS,
EY18-08 A,349,79,0.4,,white,SWS,
EY18-08 B,229,85,0.3,,white,NH,
EY18-08 B,174,72,0.5,,white,NH,
EY18-08 B,172,80,0.1,,white,NH,
EY18-08 B,120,10,0.3,,white,NH,
EY18-08 B,200,73,0.3,,white,SWS,
EY18-08 B,155,68,1,,white,SWS,
EY18-08 B,8,99,0.5,,white,SWS,
EY18-08 C,14,85,1,,"white, layered",SWS,
EY18-08 C,190,22,0.5,,"white, layered",SWS,
EY18-08 C,151,85,0.5,,white,SWS,
EY18-08 E,100,90,,,,ST,
EY18-08 E,10,85,2,,"white, brown",NH,
EY18-08 E,222,65,,,,SWS,
EY18-08 G,270,62,0.3,,white,ST,
EY18-08 G,230,60,0.3,,white,ST,
EY18-09,140,87,0.6,,,SWS,
EY18-10 A,175,85,,,,NH,
EY18-10 A,328,85,,,,NH,
EY18-10 A,20,90,0.2,,white,ST,
EY18-10 A,307,87,0.1,,,SWS,
EY18-10 A,191,87,0.1,,,SWS,
EY18-10 A,172,89,1,,,SWS,
EY18-10 B,330,12,,,,SWS,
EY18-10 B,52,66,,,,SWS,
EY18-10 C,186,78,,,,ST,
EY18-10 C,16,90,,,white,ST,
EY18-12,145,90,,,,NH,
EY18-12,187,80,,,,NH,
EY18-12,130,90,,,,NH,
EY18-12,174,84,,,,NH,
EY18-12,195,89,30,,,SWS,
EY18-13,195,83,30,,,SWS,
EY18-12,3,80,,,,ST,
EY18-12,339,90,,,,ST,
EY18-12,218,86,,,,ST,
EY18-12,354,88,,,white,ST,
FL18-100 B,155,90,0.2,,white,NH,
FL18-100 B,160,90,0.2,,white,NH,
FL18-100 B,169,90,0.2,,white,NH,
FL18-100 C,249,84,,,,ST,
FL18-100 C,165,75,,,,ST,
FL18-100 C,204,81,,,,ST,
FL18-100 C,345,88,0.2,,white,NH,
FL18-100 C,348,80,,,,NH,
