station,strike,dip,width,shear,fill,recorder,comments
FL17-74,164,52,4,,red,seth,"red, 4cm, cataclasite"
TJ17-39,152,66,3,,brown,seth,"brown, 3cm cataclasite"
TJ17-39,151,79,3,,brown,seth,"brown, 3cm cataclasite"
FL17-80,344,50,10,,cataclasite,seth,"A, 5-10cm damage, core cataclasite"
FL17-80,43,45,50,,"veins, cataclasite",seth,".5m veins, cataclasite core"
FL17-67,140,68,,,,sarah,photo
FL17-67,120,68,30,,,sarah,"30cm, photo"
FL17-68,340,80,5,,,sarah,5cm
FL17-68,204,77,10,,veins,sarah,"10cm, anasthamosing"
FL17-68,30,85,10,,,sarah,10cm
FL17-68,30,85,5,,,sarah,5-10cm
FL17-68,54,62,,,,sarah,
FL17-68,32,70,50,,,sarah,"50cm, photo"
FL17-68,58,62,30,,,sarah,30cm
FL17-68,58,74,10,,,sarah,10cm
FL17-69,230,88,,,red,sarah,"red, thru-going"
FL17-69,167,60,,,,sarah,
FL17-69,30,62,,,,sarah,
FL17-69,155,64,,,,sarah,
FL17-69,63,58,,,black,sarah,black
FL17-69,165,60,,,,sarah,
FL17-69,25,78,,,,sarah,
FL17-69,34,82,100,,red,sarah,"1m, red margin"
FL17-69,190,65,50,,,sarah,.5m eroded
FL17-69,164,75,10,,,sarah,10cm
FL17-69,118,62,10,,veins,sarah,"10-30cm, anasthamosing"
FL17-74,72,64,,,,sarah,strand of lg fault
FL17-74,60,72,,,,sarah,strand of lg fault
FL17-74,252,80,,,,sarah,strand of lg fault
FL17-74,61,58,,,,sarah,
FL17-74,14,69,200,,"cataclasite, veins",sarah,"2m, cataclasite, highly veined"
FL17-74,42,74,,,,sarah,thru outcrop
FL17-74,39,68,,,,sarah,
FL17-74,195,82,,,red,sarah,"photo, red"
FL17-74,80,51,,,red gouge,sarah,"3 photo, red, intense gouge"
FL17-74,87,30,,,,sarah,margin of vein block
FL17-74,58,60,,,red,sarah,"red, photo, margin"
FL17-74,175,73,,,,sarah,
FL17-74,116,55,,,veins,sarah,margin of vein block C
FL17-74,100,68,,,,sarah,
FL17-76,30,48,,,red gouge,sarah,"cataclasite, red gouge, fucked up zone"
FL17-76,20,45,, ,red gouge,sarah,"cataclasite, red gouge, fucked up zone"
