site,easting,northing,strike,dip
Dy,636637.1908,7311456.261,191,88
DB,625756.9218,7333404.352,3,82
Ey,623814.3724,7333210.255,9,81
FN,634358.7531,7311163.719,2,89
GA,622776.4281,7327909.097,18,89
GS,625380.4925,7320028.795,13,89
GT,631949.1623,7329799.125,2,79
HR,624775.3029,7327390.127,17,89
KB,628404.8631,7324121.348,8,89
S13,624775.3029,7327390.127,10,83
TR,628113.8323,7325518.487,6,86
UT,627078.3212,7330171.106,354,83
By,635353.5948,7335906.767,84,65
BT,628342.32,7333898.497,50,72
FO,623712.5949,7336699.971,39,75
Gy,632108.3833,7331040.039,31,78
HA,626634.6304,7340668.699,63,72
HV,631827.6418,7340672.8,102,77
I,632591.8729,7330669.085,39,77
K,624223.2316,7342067.044,52,70
LA,625672.9086,7338620.533,64,82
LU ,629405.6653,7337433.092,88,73
S21,623236.3834,7335121.135,26,74
THO,628791.4456,7340614.302,89,77
