"station","strikeDeg","dipDeg","rakeDeg","slipSense","color","Longitude","Latitude","type","width","comments"
"EY17-02",192,77,"","","fresh","-18.05786737","65.79783076","dike",NA,"fresh"
"EY17-02",20,79,"","","","-18.05786737","65.79783076","dike",NA,""
"EY17-02",192,89,"","","","-18.05786737","65.79783076","dike",NA,""
"EY17-04",244,82,"20","L","red, white","-18.07799489","65.87828316","Fault","",""
"EY17-04",188,79,"131","N","red","-18.07799489","65.87828316","Fault","",""
"EY17-04",13,66,"110","N","red","-18.07799489","65.87828316","Fault","",""
"EY17-04",245,69,"86","N","red","-18.07799489","65.87828316","Fault","",""
"EY17-04",230,68,"102","N","red","-18.07799489","65.87828316","Fault","",""
"EY17-04",7,60,"87","N","","-18.07799489","65.87828316","Fault","",""
"EY17-04",25,79,"","","","-18.07799489","65.87828316","dike","25",""
"EY17-05",344,80,"","","","-18.19061769","65.94443139","dike",NA,"same"
"EY17-05",329,81,"","","","-18.19061769","65.94443139","dike",NA,"same"
"EY17-06",194,80,"9","L","","-18.06603609","65.89817074","Fault","",""
"EY17-06",188,85,"108","N","","-18.06603609","65.89817074","Fault","",""
"EY17-06",168,90,"","","","-18.06603609","65.89817074","dike","200",""
"EY17-06",351,82,"","","fresh","-18.06603609","65.89817074","dike","100","fresh"
"EY17-06",205,88,"","","","-18.06603609","65.89817074","dike","100",""
"EY17-07",5,85,"","","","-18.03999733","65.73338091","dike",NA,"weathered"
"EY17-07",110,85,"","","","-18.03999733","65.73338091","dike","100",""
"EY17-07",168,85,"","","","-18.03999733","65.73338091","dike","20",""
"EY17-07",179,84,"","","","-18.03999733","65.73338091","dike","80",""
"EY18-08 A",153,84,"21","L","pink","-18.049624","65.679189","Fault","",""
"EY18-08 A",172,80,"","","","-18.049624","65.679189","dike","100",""
"EY18-08 C",15,15,"0","L","","-18.048118","65.678129","Fault","",""
"EY18-08 C",200,80,"0","L","","-18.048118","65.678129","Fault","",""
"EY18-08 C",195,82,"175","L","","-18.048118","65.678129","Fault","",""
"EY18-08 E",336,74,"18","R","brown (once red?)","-18.047496","65.677547","Fault","",""
"EY18-08 E",350,45,"18","R","","-18.047496","65.677547","Fault","",""
"EY18-08 E",340,43,"10","R","","-18.047496","65.677547","Fault","",""
"EY18-08 F",178,60,"10","L","green","-18.047414","65.676948","Fault","",""
"EY18-08 F",187,85,"","","","-18.047414","65.676948","dike",NA,""
"EY18-08 G",212,82,"0","L","","-18.047079","65.676412","Fault","",""
"EY18-08 H",211,80,"55","T","","-18.04694","65.676124","Fault","",""
"EY18-08 H",90,90,"","","","-18.04694","65.676124","dike","10",""
"EY18-08 I",45,90,"87","T","green","-18.046571","65.675671","Fault","",""
"EY18-08 I",220,70,"","","","-18.046571","65.675671","dike","130",""
"EY18-09",50,82,"","","","-18.061466","65.697806","dike","150",""
"EY18-09",190,90,"","","","-18.061466","65.697806","dike",NA,"dip bad"
"EY18-09",85,50,"","","","-18.061466","65.697806","dike","70","not great"
"EY18-10 A",172,90,"","","","-18.06234","65.798202","dike",NA,""
"EY18-10 B",169,70,"90","N","","-18.059504","65.796909","Fault","",""
"EY18-10 B",358,90,"55","T","","-18.059504","65.796909","Fault","",""
"EY18-10 B",21,68,"4","R","","-18.059504","65.796909","Fault","",""
"EY18-10 C",95,90,"105","T","","-18.059089","65.799175","Fault","",""
"EY18-10 C",9,88,"6","R","white","-18.059089","65.799175","Fault","",""
"EY18-10 C",48,90,"","","","-18.059089","65.799175","dike",NA,""
"EY18-10 C",175,85,"","","","-18.059089","65.799175","dike","500",""
"EY18-11",197,81,"","","","-18.054032","65.819115","dike",NA,""
"EY18-12",199,77,"65","N","","-18.071762","65.62994","Fault","",""
"EY18-12",183,17,"0","L","","-18.071762","65.62994","Fault","",""
"EY18-12",187,87,"24","L","","-18.071762","65.62994","Fault","",""
"EY18-12",198,79,"75","N","","-18.071762","65.62994","Fault","",""
"EY18-12",153,87,"6","R","white","-18.071762","65.62994","Fault","",""
"EY18-12",178,65,"145","R","white, tan","-18.071762","65.62994","Fault","",""
"EY18-12",3,90,"","","","-18.071762","65.62994","dike",NA,"wiggly"
"EY18-13",35,90,"6","R","white","-18.107966","65.695762","Fault","",""
"EY18-13",228,87,"12","L","red, green, white","-18.107966","65.695762","Fault","",""
"EY18-13",178,88,"0","L","","-18.107966","65.695762","Fault","",""
"EY18-13",4,90,"13","L","","-18.107966","65.695762","Fault","",""
"EY18-13",8,90,"5","L","","-18.107966","65.695762","Fault","",""
"EY18-13",196,79,"55","N","","-18.107966","65.695762","Fault","",""
"EY18-13",333,90,"180","R","red, white","-18.107966","65.695762","Fault","",""
"EY18-13",153,74,"168","R","green","-18.107966","65.695762","Fault","",""
"EY18-13",310,85,"145","R","","-18.107966","65.695762","Fault","",""
"EY18-13",326,86,"5","R","","-18.107966","65.695762","Fault","",""
"EY18-13",15,83,"","","","-18.107966","65.695762","dike","30",""
"EY18-13",10,90,"","","","-18.107966","65.695762","dike","30",""
"EY18-13",1,78,"","","","-18.107966","65.695762","dike","30",""
"EY18-13",19,86,"","","","-18.107966","65.695762","dike",NA,""
"EY18-13",5,90,"","","","-18.107966","65.695762","dike","1000",""
"EY18-13",160,75,"","","","-18.107966","65.695762","dike",NA,"wiggly surface"
"EY18-13",177,90,"","","","-18.107966","65.695762","dike","500",""
"EY18-13",195,86,"","","","-18.107966","65.695762","dike","50",""
"EY18-13",170,82,"","","","-18.107966","65.695762","dike","150","4 dikes"
"FL14-02",42,90,"","","","-17.88816","66.07976","dike",NA,""
"FL14-02",85,58,"","","","-17.88816","66.07976","dike",NA,""
"FL14-06",68,78,"","","","-17.89216","66.07969","dike","100",""
"FL14-06",45,85,"","","","-17.89216","66.07969","dike","200",""
"FL14-06",52,73,"","","","-17.89216","66.07969","dike",NA,"small"
"FL14-12",30,90,"","","","-18.27679","66.02864","dike","150","iffy"
"FL14-12",25,90,"","","","-18.27679","66.02864","dike","200",""
"FL14-12",355,83,"","","","-18.27679","66.02864","dike","15",""
"FL14-12",0,90,"","","","-18.27679","66.02864","dike","50",""
"FL14-12",350,90,"","","","-18.27679","66.02864","dike","150",""
"FL14-12",15,80,"","","","-18.27679","66.02864","dike","200",""
"FL14-12",15,74,"","","","-18.27679","66.02864","dike",NA,""
"FL14-12",30,90,"","","","-18.27679","66.02864","dike",NA,""
"FL14-12",20,90,"","","","-18.27679","66.02864","dike",NA,""
"FL16-66 A",356,78,"55","T","","-17.90688659","66.13710703","Fault","",""
"FL16-66 A",30,78,"","","","-17.90688659","66.13710703","dike","500",""
"FL16-66 B",120,68,"158","L","","-17.91623252","66.13894048","Fault","",""
"FL16-66 B",310,90,"33","L","","-17.91623252","66.13894048","Fault","",""
"FL16-66 B",42,74,"16","L","","-17.91623252","66.13894048","Fault","",""
"FL16-66 B",88,65,"168","R","","-17.91623252","66.13894048","Fault","",""
"FL16-66 B",313,70,"149","R","","-17.91623252","66.13894048","Fault","",""
"FL16-66 B",30,80,"","","","-17.91623252","66.13894048","dike",NA,""
"FL17-67",90,60,"30","L","","-17.89332856","66.13187105","Fault","",""
"FL17-67",335,82,"28","L","","-17.89332856","66.13187105","Fault","",""
"FL17-67",343,81,"10","L","red","-17.89332856","66.13187105","Fault","",""
"FL17-67",335,90,"21","L","","-17.89332856","66.13187105","Fault","",""
"FL17-67",26,71,"28","L","","-17.89332856","66.13187105","Fault","",""
"FL17-67",94,56,"162","L","","-17.89332856","66.13187105","Fault","",""
"FL17-67",105,67,"163","L","","-17.89332856","66.13187105","Fault","",""
"FL17-67",155,84,"162","L","","-17.89332856","66.13187105","Fault","",""
"FL17-67",343,84,"12","L","","-17.89332856","66.13187105","Fault","",""
"FL17-67",64,55,"8","L","","-17.89332856","66.13187105","Fault","",""
