station,strike,dip,width (cm),shear,color,recorder,comments
TJ17-36 A,73,81,,,,seth,
TJ17-36 A,112,69,,,,seth,
TJ17-36 A,30,87,,,,seth,
TJ17-36 A,227,86,,,,seth,
TJ17-36 A,122,64,,,,seth,
TJ17-36 A,77,51,,,,seth,
TJ17-36 A,0,74,,,,seth,
TJ17-36 A,192,68,,,,seth,
TJ17-36 A,68,54,,,,seth,
TJ17-36 A,144,71,,,,seth,
TJ17-36 A,75,68,,,,seth,
TJ17-36 A,209,81,,,,seth,
TJ17-36 A,62,80,,,,seth,
TJ17-36 A,4,82,,,,seth,
TJ17-36 A,226,85,,,,seth,
TJ17-36 A,30,88,,,,seth,
TJ17-36 A,65,74,,,,seth,
TJ17-36 A,15,87,,,,seth,
TJ17-36 A,101,57,,,,seth,
TJ17-36 A,102,48,,,,seth,
TJ17-36 A,134,75,,,pink,seth,3cm
TJ17-36 B,53,87,,,,seth,
TJ17-36 B,40,79,,,,seth,
TJ17-36 B,94,86,,,,seth,
TJ17-36 B,97,63,,,,seth,
TJ17-36 B,27,85,,,,seth,
TJ17-36 B,213,76,,,,seth,
TJ17-36 B,89,73,,,,seth,
TJ17-36 B,198,66,,,,seth,
TJ17-36 B,263,88,,,,seth,
TJ17-36 B,169,84,,,,seth,
TJ17-36 B,260,66,,,,seth,
TJ17-36 B,245,53,,,,seth,
TJ17-36 B,99,79,,,,seth,
TJ17-36 B,271,55,,,,seth,
TJ17-36 B,66,63,,,,seth,
TJ17-36 B,137,20,,,,seth,
TJ17-36 B,284,24,,,,seth,
TJ17-36 B,295,32,,,,seth,
TJ17-36 B,10,74,,,,seth,
TJ17-36 B,30,75,,,,seth,
TJ17-36 B,328,85,,,,seth,
TJ17-36 C,250,34,,,,seth,
TJ17-36 C,243,33,,,,seth,
TJ17-36 C,154,82,,,,seth,
TJ17-36 C,193,70,,,,seth,
TJ17-36 C,164,75,,,,seth,
TJ17-36 C,270,56,,,,seth,
TJ17-36 C,180,71,,,,seth,
TJ17-36 C,122,76,,,,seth,
TJ17-36 C,272,82,,,,seth,
TJ17-36 C,52,56,,,,seth,
TJ17-37 A,164,70,,,,seth,
TJ17-37 A,85,39,,,,seth,
TJ17-37 A,358,62,,,,seth,
TJ17-37 A,346,65,,,,seth,
TJ17-37 A,76,75,,,,seth,
TJ17-37 A,143,64,,,,seth,
TJ17-37 A,138,87,,,,seth,
TJ17-37 A,322,37,,,,seth,
TJ17-37 A,94,70,,,,seth,
